DATAFLOW,FREQ: Frequency,TIME_PERIOD: Time,GEO_PICT: Pacific Island Countries and territories,DRILLDOWN: Drilldown level,UNIT_ID: Unit identifier,INDICATOR: Indicator,OBS_VALUE,UNIT_MEASURE: Unit of measure,UNIT_MULT: Unit multiplier,OBS_STATUS: Observation Status,DATA_SOURCE: Data source,OBS_COMMENT: Comment,FACNAME: Facility name,FACTYPE: Facility type,LATITUDE: Latitude,LONGITUDE: Longitude,HEALTHSTAFF: Health staff,DOCTORS: Doctors,MIDW: Midwives,NURSES: Nurses,NURSEAIDS: Nurse aides,PHARMAOT: Pharmacy officer techician,PHARMACIST: Pharmacist,MICROSCOPIST: Microscopist,OTHERHS: Other health staff,CATCHPOP: Catchment population,VACC: Vaccination,NEWBORN: Newborn care,STI: STI treatment,TB: Tuberculosis treatment,MALARIA: Malaria treatment,XRAY: X-ray machine,BEDS: Inpatient beds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000742: ID000742,NFAC: Number of facilities,1,N: units,,,,,Kariki,Aid post,-6.8998617,156.0939824,0,0,0,0,0,0,0,0,0,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000758: ID000758,NFAC: Number of facilities,1,N: units,,,,,Noro Public,Clinic,-8.24352396,157.198574,5,0,1,2,1,0,0,1,0,2093,Weekly,Yes,Yes,Yes,Yes,No,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000729: ID000729,NFAC: Number of facilities,1,N: units,,,,,Gaomai,Aid post,-7.06447136,155.6433521,2,0,0,1,1,0,0,0,0,1500,Weekly,Yes,No,No,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000750: ID000750,NFAC: Number of facilities,1,N: units,,,,,Lambulambu,Aid post,-7.71931689,156.7791518,1,0,0,0,1,0,0,0,0,400,Monthly,Yes,Yes,Yes,Yes,No,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000771: ID000771,NFAC: Number of facilities,1,N: units,,,,,Sobiro,Aid post,-8.73832893,158.2062504,1,0,0,0,1,0,,0,0,2000,,Yes,Yes,No,Yes,No,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000730: ID000730,NFAC: Number of facilities,1,N: units,,,,,Ghatere,Aid post,-8.07713389,156.9817465,1,0,0,0,1,0,0,0,0,2000,Monthly,Yes,Yes,Yes,Yes,No,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000732: ID000732,NFAC: Number of facilities,1,N: units,,,,,Goldie College,Aid post,-8.29868891,157.2155899,1,0,0,0,1,0,0,0,0,800,,No,Yes,Yes,Yes,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000747: ID000747,NFAC: Number of facilities,1,N: units,,,,,Koriovuku (Emu Harbor),Community health centre,-7.94527241,156.5531477,3,0,1,1,0,0,0,1,0,2441,Weekly,Yes,Yes,Yes,Yes,No,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000749: ID000749,NFAC: Number of facilities,1,N: units,,,,,Lale,Clinic,-8.17352279,156.5806323,2,0,0,1,1,0,0,0,0,900,Weekly,Yes,Yes,Yes,Yes,No,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000734: ID000734,NFAC: Number of facilities,1,N: units,,,,,Harapa,Clinic,-6.98974929,155.7022311,1,0,0,0,1,0,0,0,0,700,,Yes,No,No,Yes,No,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000745: ID000745,NFAC: Number of facilities,1,N: units,,,,,Kolokolo,Clinic,-7.80270401,156.7545461,2,0,0,1,1,0,0,0,0,3000,Weekly,Yes,Yes,Yes,Yes,No,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000772: ID000772,NFAC: Number of facilities,1,N: units,,,,,Soltuna,Clinic,-8.22358165,157.1996452,5,0,0,2,2,0,0,1,0,2500,Weekly,No,Yes,Yes,Yes,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000774: ID000774,NFAC: Number of facilities,1,N: units,,,,,Tapurai,Aid post,-8.25510496,156.5286694,1,0,0,1,0,0,0,0,0,500,,No,No,No,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000775: ID000775,NFAC: Number of facilities,1,N: units,,,,,Tingge,Aid post,-8.71196155,157.898328,1,,,1,,,,,,2000,,Yes,Yes,No,Yes,No,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000719: ID000719,NFAC: Number of facilities,1,N: units,,,,,Arara,Aid post,-8.4878483,157.648171,1,,,,1,,,,,4000,Weekly,Yes,Yes,Yes,Yes,No,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000746: ID000746,NFAC: Number of facilities,1,N: units,,,,,Koqupoana,Aid post,-8.20928503,157.0940756,0,0,0,0,0,0,0,0,0,1000,,No,No,No,No,No,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000760: ID000760,NFAC: Number of facilities,1,N: units,,,,,Nusa Roviana,Aid post,-8.34993678,157.314973,0,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000761: ID000761,NFAC: Number of facilities,1,N: units,,,,,Olive Aswani,Aid post,-8.26592254,157.5504599,1,0,0,0,1,0,0,0,0,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000748: ID000748,NFAC: Number of facilities,1,N: units,,,,,Kukundu,Clinic,-8.02476859,156.9455745,2,0,1,1,0,0,0,0,0,3000,Weekly,Yes,Yes,Yes,Yes,No,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000765: ID000765,NFAC: Number of facilities,1,N: units,,,,,Pienuna,Clinic,-8.02677432,156.5846293,4,0,0,3,1,0,0,0,0,2836,Weekly,Yes,Yes,Yes,Yes,No,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000782: ID000782,NFAC: Number of facilities,1,N: units,,,,,Viru,Clinic,-8.49685666,157.7283333,1,,,1,,,,,,2000,Weekly,Yes,Yes,No,Yes,No,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000731: ID000731,NFAC: Number of facilities,1,N: units,,,,,Gizo Hospital,Hospital,-8.10516678,156.845805,74,3,5,39,15,1,1,3,7,39735,As required,Yes,Yes,Yes,Yes,Yes,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000735: ID000735,NFAC: Number of facilities,1,N: units,,,,,Helena Goldie Hosp,Hospital,-8.33017096,157.250958,5,0,2,2,1,0,0,0,0,7000,Weekly,Yes,Yes,Yes,Yes,Yes,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000752: ID000752,NFAC: Number of facilities,1,N: units,,,,,Lokuru,Aid post,-8.60948436,157.3374436,0,,,,,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000769: ID000769,NFAC: Number of facilities,1,N: units,,,,,Samarae,Aid post,-8.27319505,157.1470053,1,0,0,0,1,0,0,0,0,1000,Weekly,Yes,Yes,Yes,Yes,No,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000773: ID000773,NFAC: Number of facilities,1,N: units,,,,,Supato,Aid post,-7.86370824,156.5931616,1,0,0,0,1,0,0,0,0,600,Monthly,Yes,Yes,No,Yes,No,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000722: ID000722,NFAC: Number of facilities,1,N: units,,,,,Biula,Aid post,-8.26394552,157.4285258,1,0,0,0,1,0,0,0,0,600,,No,Yes,No,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000723: ID000723,NFAC: Number of facilities,1,N: units,,,,,Buni ,Clinic,-8.29420112,157.115089,1,0,0,1,0,0,0,0,0,500,As required,No,Yes,No,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000744: ID000744,NFAC: Number of facilities,1,N: units,,,,,Keru,Clinic,-8.19041689,157.6712114,1,,,,1,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000756: ID000756,NFAC: Number of facilities,1,N: units,,,,,Ngari,Aid post,-8.0725889,156.7703243,1,,,,1,,,,,700,Weekly,No,Yes,No,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000777: ID000777,NFAC: Number of facilities,1,N: units,,,,,Tumbi,Clinic,-8.28000253,156.5321655,2,0,0,1,1,0,0,0,0,2000,Weekly,Yes,Yes,Yes,Yes,No,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000743: ID000743,NFAC: Number of facilities,1,N: units,,,,,Kavolavata,Aid post,-8.77875987,158.216717,0,0,0,0,0,0,0,0,0,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000757: ID000757,NFAC: Number of facilities,1,N: units,,,,,Nila,Community health centre,-7.09026204,155.8647375,9,0,1,4,1,2,0,1,0,5000,Weekly,Yes,Yes,No,Yes,No,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000764: ID000764,NFAC: Number of facilities,1,N: units,,,,,Penjuku,Clinic,-8.77039013,158.135926,3,0,0,1,2,0,0,0,0,2000,Weekly,Yes,Yes,Yes,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000778: ID000778,NFAC: Number of facilities,1,N: units,,,,,Ughele,Clinic,-8.44472437,157.3949454,1,0,1,0,0,0,0,0,0,2000,Monthly,No,Yes,Yes,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,SB-2: Western,DD: Drilldown,ID000751: ID000751,NFAC: Number of facilities,1,N: units,,,,,Leona,Clinic,-7.73271747,156.5377363,2,0,0,2,0,0,0,0,0,600,Weekly,Yes,Yes,Yes,Yes,No,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
